,R0,R1,PMOS_Num,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0,0,1,3.007,3.00751146664775,3.0070027047296,3.00699982665262,3.00699992670061,3.007,3.00792654056426,3.00742650739839,3.00699488923794,3.00700248152342,3.00694189895518,2.98929848652497,2.99016355179897,2.97437181569865,2.9517420872122,2.92356435591455,2.84480808039454,2.7719977038509,2.67512006247314,2.48422295888226,1.11183693687144,0.286678345908527,0.217499987196439,0.154339397048164,0.13081638958794,0.098907901167221,0.085091063086518,0.067,0.048514204182845,0.050037935112288,0.036362303650274,0.033032229524733,0.033002699964867,0.03456036231334,0.016907218779891,0.017001104430095,0.017000012984439,0.017000000081076,0.017000000003699,0.017000000000012,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
2,0,100,1,2.923,2.92299968038001,2.922978872785,2.93048178418489,2.92378075316447,2.92280526022661,2.92023695510212,2.92271348724441,2.92300474010071,2.92300004753253,2.92299999611696,2.92300157907911,2.92302972020916,2.91006450035899,2.89182911076174,2.86481751047557,2.80494858166382,2.74575695336878,2.68757138613265,2.56786970790494,2.37820569331955,0.444410312519906,0.267,0.184671895225883,0.120883569237447,0.084627663520753,0.060463256330898,0.033,0.016149491706163,-0.001220997303487,1.06739027667912E-06,-0.000638194130875,-0.049690024810053,-0.050060096703329,-0.049997979696586,-0.050000009801335,-0.050000000082598,-0.049999999999647,-0.049999999999993,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
3,0,1000000,1,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.973,2.97299999999999,2.97299999999958,2.97299999993396,2.97300000151193,2.97300125439124,2.97298824439624,2.97570699695017,3.02977113526213,0.823246234056624,0.157406133104623,-0.001578948424004,-0.051031623569961,-0.050008769061395,-0.049999962081759,-0.049999999130148,-0.049999999997998,-0.04999999999979,-0.049999999999999,-0.05,-0.05,-0.05,-0.05
4,0,249000,1,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94000000000108,2.94000000007505,2.94000000288177,2.94000044983395,2.93998967884663,2.94433855884261,2.92153393397612,2.62265916202344,0.522395171193649,0.103997881163036,-0.006127536584464,-0.050232426954108,-0.068192546554125,-0.067068495306167,-0.050497187190489,-0.067160337314247,-0.067000267399226,-0.066999977352478,-0.066999004704125,-0.067082792509345,-0.060115058942338,-0.067,-0.067
5,0,39,1,2.957,2.957,2.957,2.957,2.957,2.957,2.9569999999999,2.95700000000154,2.95699999970835,2.95699996511759,2.95700171567052,2.95683116357897,2.93974890511618,2.92158995091569,2.8910511681542,2.87330152525868,2.79650529904463,2.73737056209024,2.60899262398652,2.4736140093694,0.779339127758776,0.243483259916741,0.2,0.121909991297785,0.083322318993105,0.067195681632913,0.051448866390925,0.033268425334282,0.01717748650177,0.006875080363717,-5.42731400912408E-05,-0.005856774742636,-0.033188033150659,-0.032956468563327,-0.033000344048915,-0.032999993010572,-0.032999999938611,-0.032999999999144,-0.032999999999981,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033
6,0,39000,1,2.957,2.9570000000001,2.95700000000665,2.95699999797775,2.95700004047896,2.95699905022204,2.95646439063485,2.97043258050058,2.95694647819903,2.95699940429116,2.95700000116311,2.9570000000531,2.95700000000017,2.957,2.957,2.957,2.957,2.957,2.957,2.957,2.95699999999979,2.95699999995629,2.95700000040467,2.95699984685474,2.95698513033297,2.95819304484884,2.94044468957614,2.94,2.93999497413384,2.93983387885625,2.92211010076217,2.91743465246696,2.89129674299388,2.79452615828376,0.842664420692243,0.344560567195499,0.086004546102185,-0.000210640792724,-0.033120544318125,-0.033000403533177,-0.032999991929265,-0.032999999931418,-0.033000000000298,-0.033000000000007,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033
7,0,400,1,2.94,2.94,2.94,2.94,2.94,2.94,2.93999999999999,2.93999999999961,2.94000000008896,2.94000001063112,2.93999947668987,2.94005254751343,2.93098175356436,2.92378286995649,2.90701891885471,2.88942737131205,2.86178703941521,2.83878333448875,2.78450895356296,2.73509159744872,2.66252693724527,2.55220152933045,2.422,0.691004989722451,0.341274598437602,0.248731546320798,0.200589294799207,0.134981263400296,0.094369437590865,0.066658968036109,0.036636697266108,0.01753417076984,5.31454033630648E-05,0.001474459951397,-0.035306673101982,-0.050061302506109,-0.050000514495778,-0.050000007634604,-0.050000000171654,-0.050000000000286,-0.049999999999986,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
8,0,4000,1,2.94,2.93984293133176,2.95567764422107,2.94077066321312,2.95213310262205,2.957,2.93690697399343,2.93960782386376,2.94000471422063,2.94000005195241,2.93999999989831,2.9399999996971,2.93999998704888,2.94000298575609,2.94039532430842,2.9235558345425,2.92301934271026,2.92318421637288,2.90719287851419,2.90589509765045,2.89058783727461,2.8915119546217,2.8731503561076,2.86173608859438,2.83910522505828,2.80675881877712,2.78330238302363,2.706,2.01690140710691,0.767489990954571,0.520549190115607,0.320922927127386,0.195381420499133,0.104048768808635,0.03860630944405,-0.001062015058125,-0.048479336467182,-0.049990504815111,-0.049999566840447,-0.049999998612404,-0.050000000031867,-0.049999999999207,-0.050000000000004,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
9,0,51000,1,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94000000000036,2.94,2.93999999972712,2.9399999805501,2.94000212585538,2.93986526268829,2.923,2.92301106241414,2.92311952330962,2.92353503164736,2.90347883971684,2.89010033159763,2.74150980516128,1.03045878296542,0.356863303265443,0.074647223105316,7.317515953081E-06,-0.050739505863368,-0.050001336370841,-0.049999944172633,-0.050000001202936,-0.049999999993971,-0.049999999999862,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
10,100000,1700,1,3.007,3.0102482024329,2.99048347313165,2.99478770827117,2.99624238766834,2.99071254824435,2.99024888120128,2.99050864263929,2.94842197087859,2.72609060178051,2.10611583994543,0.811926817176351,0.068170922567354,0.050250456196284,0.050003780788877,0.050000425024936,0.05012711962044,0.032378841491819,0.032894718429176,0.032999417714805,0.033000004333303,0.033000000069785,0.033,0.033000000000018,0.033,0.033000000000001,0.032999999999978,0.033000000000518,0.033000000291828,0.033000020918808,0.032997307258483,0.032557292515202,0.032629367279122,0.017661188218483,0.017001644014973,0.016999966601483,0.016999999706655,0.016999999995907,0.017000000000427,0.017000000000001,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
