experimentid,BV,time,gap,width,ngr,sigma,depth
118,-579.4953372269999,28500.01068878174,1.38,1.13,21,0.0104,0.48
154,-297.763313279,17647.831359148026,3.5,2.03,18,0.0164,0.45
172,-314.621041907,8042.214725255966,3.24,0.84,20,0.0988,0.09
119,-246.907667707,32454.267562389374,2.59,4.0,11,0.0125,0.12
209,-503.958072126,13236.590607881546,1.9,1.64,18,0.0577,0.33
120,-740.491239326,13580.884736299515,0.83,3.82,6,0.0187,0.26
136,-485.124519899,10485.518199682236,2.98,0.79,15,0.0338,0.88
150,-973.2429116139999,13699.080603837967,1.26,4.05,9,0.0965,0.2
121,-430.738094615,6772.573892593384,2.09,0.89,11,0.0637,0.26
178,-676.167455961,9228.274820327759,1.44,4.81,4,0.0593,0.24
122,-452.60409908,24673.84282183647,4.27,1.59,28,0.098,0.76
152,-699.283855106,30831.260170459747,1.32,1.11,6,0.0245,0.39
185,-351.318320846,29845.70087003708,2.36,1.34,26,0.0143,0.49
123,-1143.45464642,27435.998371124268,1.19,2.88,16,0.0464,0.76
155,-1350.40757207,42407.998530864716,1.44,1.45,26,0.0673,0.74
171,-323.93822465200003,10475.892544269562,4.36,2.51,7,0.0232,0.91
183,-515.1737360000001,17500.98574590683,3.8,1.48,26,0.0999,0.88
174,-1049.06499905,8814.10279417038,1.44,2.32,10,0.0648,0.48
184,-393.507703359,22882.93429851532,3.83,2.01,28,0.0493,0.92
175,-307.228143231,40243.78259682655,4.55,2.5,24,0.0196,0.47
221,-477.41197534599996,8450.692556858063,1.25,0.86,31,0.0826,0.09
137,-581.3461593,21352.868639707565,0.81,3.33,15,0.0453,0.8
210,-402.924263059,35459.11741352081,3.19,3.3,21,0.0562,0.46
141,-461.792291697,38837.96255207062,2.0,4.07,27,0.0516,0.31
182,-834.873953997,7516.105121850967,1.21,0.35,5,0.0595,0.55
194,-380.68715156800005,16664.26730942726,4.44,4.96,19,0.0586,0.59
143,-327.142006961,9880.701461315155,4.78,1.02,16,0.0292,0.35
156,-300.141767625,14992.496485233307,3.43,0.77,12,0.0169,0.51
145,-961.099673173,10956.070273637772,1.33,0.77,11,0.0695,0.87
158,-332.248638188,18486.76781105995,3.38,3.79,16,0.0152,0.66
151,-462.826269042,32795.17812848091,4.19,4.52,29,0.0995,0.68
187,-326.135306999,8382.312182664871,2.39,0.61,8,0.0202,0.35
157,-460.15557099,8030.2757396698,3.13,3.32,6,0.0471,0.8
213,-796.430789266,29309.990881443024,0.87,2.88,31,0.0754,0.08
162,-354.091680514,5996.359190225601,3.81,3.94,2,0.0325,0.61
167,-436.283580668,22261.528745889664,0.81,4.42,8,0.0175,0.87
164,-599.4278937000001,22351.75982284546,2.44,4.61,23,0.0888,0.46
191,-454.47258246900003,10174.327332496643,4.48,3.29,8,0.0844,0.96
222,-679.449929803,14455.23046040535,1.48,3.02,8,0.0922,0.18
