experimentid,BV,time,x,y,gap,width,ngr,sigma,depth
0,-291.307412403,2331.6622467041016,0.712890625,4.52874023438,3.86,1.25,13,0.053,0.96
43,-171.15262769,2253.5087094306946,0.107543945313,4.44125,3.2,0.68,12,0.0107,0.35
61,-216.73516847599998,794.2523863315582,-0.044677734375,4.48314453125,3.67,1.64,1,0.0627,0.16
1,-304.393395645,2182.6935892105103,0.72705078125,24.128125,0.71,2.56,6,0.0307,0.97
41,-183.524804327,974.9930880069733,-0.13671875,4.514453125,3.47,3.18,3,0.059,0.07
46,-530.123344496,6780.214178323746,0.4013671875,4.5023828125,1.96,1.22,29,0.0949,0.58
2,-282.395472826,1246.850495815277,-0.00927734375,4.5078125,1.62,2.53,8,0.0451,0.22
34,-139.443661961,1685.0211882591248,-0.20751953125,4.47930664063,4.74,2.73,11,0.0448,0.02
45,-281.948411557,2472.333019256592,0.0635476267311,4.49390625,3.06,2.43,13,0.0914,0.27
3,-162.59178814700002,4535.695611715317,-0.21889126721299998,4.466333115159999,3.22,3.67,29,0.0545,0.01
60,-247.38230250799998,2324.116991519928,0.01904296875,4.52103515625,3.75,3.34,8,0.0672,0.23
77,-258.43882502599996,2987.7596094608307,0.0615234375,4.5599609375,3.73,1.92,18,0.072,0.31
4,-242.326333337,1259.0747447013855,-0.0517578125,25.4824609375,0.29,2.33,8,0.0641,0.15
35,-176.22419896,960.3499402999878,-0.23583984375,4.53125,4.78,2.97,2,0.0627,0.06
5,-253.89072493,855.2431409358978,0.011962890625,4.5298828125,3.05,0.64,5,0.0686,0.22
32,-192.95074191700002,2349.72470331192,0.196044921875,4.4653515625,2.89,0.62,26,0.0233,0.43
47,-334.262867878,3009.1538174152374,0.61376953125,4.5459375,3.39,2.65,12,0.0793,0.81
6,-436.698398271,3712.404260158539,0.033203125,4.521640625,1.54,2.32,13,0.0827,0.26
53,-232.108378159,2120.5530004501343,0.27392578125,4.50912109375,3.99,4.97,6,0.0278,0.52
67,-634.310192559,7089.896171092987,0.69873046875,8.861630859369999,1.31,0.88,17,0.0253,0.93
7,-209.111646237,811.1252777576447,0.47216796875,4.4851953125,2.99,1.07,6,0.026,0.7
30,-297.780592889,2926.8079495429993,0.6845703125,4.4775390625,2.67,0.69,20,0.0558,0.89
54,-499.21018086,2862.115039587021,0.2880859375,26.976796875,1.16,4.46,4,0.0706,0.47
8,-213.84319320400002,6242.639746427536,0.6951904296879999,4.5024951171900005,3.81,1.92,23,0.0145,0.93
72,-224.217470147,2278.1638135910034,-0.25,4.6158984375,4.56,0.31,14,0.0962,0.09
102,-319.53126009700003,7377.442771911621,0.76953125,4.51356445313,3.51,4.08,28,0.0791,0.95
160,-193.05834125299998,4461.643337249756,0.3447265625,4.443359375,3.81,1.71,25,0.0158,0.58
10,-314.73552027,1316.2644772529602,0.033203125,4.447265625,1.68,0.95,8,0.0555,0.23
36,-203.815454121,2257.4343860149384,-0.1650390625,4.55212402344,2.72,2.63,15,0.0746,0.09
52,-418.920844037,2574.803014755249,0.224365234375,19.111328125,0.8,1.03,8,0.0389,0.44
11,-190.15711924,3467.186793088913,-0.13671875,4.47275390625,4.16,3.9,15,0.0629,0.07
50,-261.953011658,1375.551337480545,0.235381659955,4.50501953125,3.17,4.6,4,0.0632,0.44
62,-323.801302804,2724.228847503662,0.259765625,4.49345703125,2.93,4.41,10,0.088,0.44
104,-320.43162403,5662.167096614838,0.61551217556,4.5235546875,3.82,4.35,18,0.0864,0.79
148,-312.791205721,1117.4078137874603,0.27392578125,10.5750585938,1.43,4.66,1,0.0362,0.49
13,-266.38779297,826.9297699928284,0.259765625,4.4865625,4.96,2.5,3,0.068,0.48
31,-449.039401289,1157.5633516311646,0.30224609375,4.488046875,1.85,0.63,2,0.0907,0.47
39,-180.75495813400002,2436.512714624405,0.026123046875,4.458017578130001,3.19,2.72,11,0.0282,0.25
14,-156.392192497,1995.2724475860596,0.369506835938,4.4787597656300004,4.54,3.61,12,0.0108,0.61
40,-266.3608756,1403.5680434703827,0.181884765625,4.51479492187,3.63,0.64,7,0.0735,0.38
49,-494.886860581,6523.760671377182,0.6279296875,49.870761718800004,1.18,4.49,8,0.0619,0.83
15,-281.53645651200003,4290.681496143341,0.1181640625,4.48828125,4.27,2.41,25,0.0967,0.29
56,-427.963744207,4493.774342060089,0.5712890625,4.50857421875,1.95,1.37,21,0.0483,0.79
88,-314.60893845,2990.468468427658,0.408447265625,30.9238476563,0.35,1.04,19,0.0677,0.6
16,-141.525194097,1066.2704660892487,-0.157958984375,4.4765625,2.27,1.01,10,0.0305,0.07
33,-358.168223401,8210.336617469788,0.3447265625,93.7526953125,0.47,2.96,26,0.0871,0.58
90,-281.453127477,2019.909677028656,-0.25,4.59265625,1.93,3.41,7,0.0935,0.14
17,-217.09029904099998,4146.626890897751,-0.25,4.57939453125,4.41,0.49,24,0.0934,0.08
136,-273.216114614,2703.49826335907,0.64208984375,4.51157226563,2.98,0.79,15,0.0338,0.88
18,-177.550175506,3283.0599529743195,0.266845703125,4.4501953125,4.51,1.95,25,0.0223,0.5
48,-248.989070868,4311.709567785263,0.033203125,4.503125,2.73,1.87,26,0.0735,0.24
81,-331.843736178,7330.021191596985,0.146484375,4.493383789059999,1.73,4.72,31,0.0469,0.36
19,-220.637466022,6829.837580442429,0.296423053143,4.5037890625,2.69,3.19,26,0.0189,0.54
76,-188.435113359,3570.119936943054,-0.06591796875,4.4748046875,2.26,3.79,23,0.0435,0.14
101,-181.583676082,3904.8167748451233,0.5146484375,4.4846484375,4.01,1.45,21,0.0212,0.75
103,-182.268911522,3513.316222190857,0.08984375,4.4912109375,4.49,3.56,16,0.0333,0.33
128,-160.92433581,894.2965376377106,-0.17919921875,4.503125,4.32,0.33,6,0.0515,0.07
21,-233.840112489,7357.513392210007,0.31640625,4.47893554688,4.73,4.21,27,0.045,0.53
159,-182.765658287,5177.972818374634,-0.06591796875,4.510412597659999,3.94,3.45,23,0.0272,0.19
22,-161.063343447,2617.2381217479706,0.040283203125,4.460747070309999,4.04,0.73,31,0.0114,0.28
44,-163.556350115,1861.5266399383545,-0.25,4.525625,1.99,1.6,18,0.0367,0.05
59,-250.774667727,1133.5250005722046,0.535888671875,4.52265625,4.41,4.17,1,0.0428,0.78
23,-168.455150601,1437.7591285705566,0.1181640625,4.47224609375,3.82,2.82,8,0.0242,0.36
37,-357.380765798,2052.135854244232,0.78369140625,15.9166015625,0.93,4.77,2,0.0843,0.97
51,-284.79896745400004,5213.015788316727,0.578369140625,63.636083984399995,0.71,3.84,13,0.0217,0.81
24,-165.423252789,1912.3172047138214,0.298706054688,4.47734375,2.89,0.38,18,0.0105,0.54
38,-513.719106799,10071.397780179977,0.01904296875,4.50524902344,1.22,2.83,29,0.0769,0.22
112,-127.778147079,1036.6069586277008,-0.072998046875,4.46689453125,2.77,0.57,10,0.01,0.17
25,-268.578871568,4418.915543317795,0.21728515625,4.52029785156,3.06,2.61,29,0.0429,0.43
57,-211.30478491,4265.752826690674,0.72705078125,4.4966796875,4.3,4.5,21,0.0301,0.95
86,-231.505021257,4189.51496720314,-0.25,4.61162109375,4.6,4.06,17,0.073,0.15
26,-662.833885162,6616.389009475708,0.712890625,4.50966796875,2.01,2.87,10,0.0872,0.89
74,-240.433592638,3161.5736010074615,-0.25,4.5959375,2.26,3.17,18,0.0862,0.11
93,-225.544327477,2806.6058723926544,0.16064453125,4.51584960937,3.43,0.66,23,0.0341,0.4
27,-322.559837568,5946.300671577454,0.4013671875,4.49763671875,2.62,2.76,21,0.0706,0.6
69,-428.411211106,1865.3222675323486,0.10400390625,4.48984375,1.58,2.59,2,0.0753,0.28
83,-358.176553058,2442.0161633491516,0.69873046875,20.9241796875,0.46,1.03,11,0.0741,0.89
28,-131.12375592,5202.093545913696,-0.17919921875,4.47887207031,4.66,4.58,31,0.0255,0.07
63,-385.986118016,3663.7069516181946,0.804931640625,40.6966992187,0.27,1.99,16,0.093,0.99
89,-222.95626097299998,1500.8746318817139,-0.00927734375,4.5116015625,1.68,0.31,16,0.0339,0.23
29,-287.056011044,5890.8027238845825,-0.25,4.6126953125,2.54,4.93,30,0.0997,0.19
68,-309.724982496,728.0581827163696,0.486328125,4.498046875,4.9,2.88,0,0.0943,0.68
75,-249.01076857099997,2886.919876098633,0.040283203125,4.50585449219,1.95,3.48,17,0.0414,0.26
58,-300.473232895,5699.148177146912,0.64208984375,4.53015136719,4.75,4.3,25,0.0861,0.83
98,-424.658930764,5442.974850893021,0.08984375,48.916308593800004,0.64,3.8,10,0.0392,0.34
142,-245.741189848,3802.8050734996796,0.04736328125,4.53294921875,3.5,2.08,27,0.0598,0.28
64,-271.31325614900004,2409.8498730659485,0.47216796875,4.48779296875,4.15,0.47,10,0.0665,0.67
82,-135.228710217,3525.5251166820526,-0.25,4.50038085938,4.66,2.28,27,0.0336,0.02
107,-456.20644077699995,3196.5951402187347,0.5712890625,23.727734375,1.04,1.36,8,0.0839,0.78
65,-380.51540254,5681.142470359802,0.76953125,56.90921875,0.89,4.93,9,0.0586,0.98
105,-442.64936202,2064.096142053604,0.539428710938,4.4513671875,1.4,0.5,4,0.019,0.77
122,-315.810766332,5438.765908241272,0.5712890625,4.5119238281300005,4.27,1.59,28,0.098,0.76
66,-251.09277357599998,2312.034733057022,0.026123046875,4.4876953125,2.86,2.94,13,0.0635,0.21
84,-432.495063105,6487.0399515628815,-0.1650390625,4.49736328125,0.53,3.6,20,0.0313,0.07
130,-161.805726485,900.7584073543549,0.04736328125,4.48015625,2.09,1.04,6,0.0101,0.29
70,-313.759830508,865.0737326145172,0.16064453125,4.538515625,2.18,0.34,1,0.0776,0.38
78,-269.36258012400003,4377.1108865737915,0.1181640625,4.53154296875,4.71,3.01,14,0.0708,0.32
151,-321.159867852,9911.466662168503,0.507568359375,4.532478027340001,4.19,4.52,29,0.0995,0.68
221,-318.748188203,3894.3357303142548,-0.25,4.5657421875,1.25,0.86,31,0.0826,0.09
73,-330.45398892400004,3360.5983169078827,0.281005859375,4.47029296875,1.56,1.31,21,0.0371,0.49
97,-231.208074746,4040.995927095413,0.259765625,4.48109375,4.68,3.21,14,0.0454,0.48
125,-763.8907172239999,5203.187601566315,0.44384765625,4.47002929688,1.48,1.43,11,0.0811,0.61
80,-354.247938677,2155.788921356201,0.61376953125,15.4444921875,0.72,2.02,4,0.0777,0.79
92,-346.54147811900003,4427.387212753296,0.35888671875,4.4714355468800004,1.95,2.02,25,0.0476,0.58
127,-138.609346803,3142.9111502170563,-0.129638671875,4.48392578125,3.86,4.36,23,0.0221,0.1
87,-273.107136558,4234.48681640625,0.486328125,4.485341796869999,4.39,1.13,19,0.0644,0.68
119,-142.457742556,1623.1273121833801,-0.129638671875,4.499047851559999,2.59,4.0,11,0.0125,0.12
132,-737.1963419719999,8336.664655923843,0.550048828125,4.49643554688,1.61,1.08,15,0.0839,0.72
91,-187.873016038,2094.8297805786133,0.564208984375,4.4923535156300005,4.95,3.41,11,0.0266,0.8
110,-284.824245766,718.5942239761353,0.50048828125,4.498046875,4.67,2.69,0,0.0738,0.69
114,-256.2745439,2845.1722435951233,-0.25,4.618659349980001,2.49,2.57,18,0.0828,0.15
179,-138.108470948,946.8256456851959,0.0084228515625,4.47952148437,2.77,1.82,7,0.0101,0.25
183,-348.02754268900003,6493.711991071701,0.726992892341,4.50266601562,3.8,1.48,26,0.0999,0.88
95,-192.99546860799998,3519.073659181595,0.638549804688,4.486328125,3.74,3.86,27,0.0173,0.87
207,-359.373837337,3726.0172357559204,0.13232421875,4.51171875,2.0,0.9,20,0.0948,0.32
96,-341.790601116,2158.5464448928833,0.65625,20.3175,0.71,1.55,7,0.081,0.86
113,-170.302175905,1940.972426891327,-0.1083984375,4.494140625,4.75,3.75,11,0.033,0.11
126,-222.37220081799998,1852.8640353679657,0.2880859375,4.4693359375,3.92,1.38,13,0.0449,0.51
99,-234.92114584400002,2106.5231595039368,0.07568359375,4.49436523437,3.05,1.86,9,0.0517,0.28
115,-244.563082821,4075.487025499344,0.2314453125,4.4621582031300004,4.2,1.2,30,0.0497,0.44
147,-860.943456061,10475.172868728638,0.4296875,4.49158203125,1.44,4.04,16,0.0802,0.61
