id,Total_Charge,BV,X,Y,3.5V,4.5V,Ron,Vf,gap,width,ngr,sigma,depth
531,6.00725243903e-9,-284.723523128,0.550048828125,574.997808838,25806833.8185,92749140.7598,0.00204767294276,5.78015199258,3.97,0.4,15,0.0468,0.76
532,7.77346780526e-9,-452.609678331,0.47216796875,574.969678955,28249507.4629,103440700.12,0.00158681008799,5.52275148082,2.45,4.64,3,0.053,0.67
533,5.95363664247e-9,-291.715269042,-0.13671875,575.093049316,56657064.8066,244783263.665,0.00119961392053,4.30160377074,4.52,4.5,28,0.0899,0.16
534,5.09744544735e-9,-211.888099796,0.309326171875,574.965053711,32370265.4778,124419358.942,0.00138382733507,5.15167394884,2.77,0.71,12,0.0218,0.55
535,5.60689069356e-9,-252.1793643,0.677490234375,577.220042725,23035072.4155,80904672.5073,0.00193660386448,6.15590264466,0.3,1.97,1,0.0231,0.9
536,7.65900948552e-9,-441.701402569,-0.12255859375,574.940410156,67576657.3659,313857142,0.000506163317662,4.11039401462,0.62,1.32,18,0.0215,0.11
537,7.1361078271e-9,-389.984916003,0.0615234375,575.002258301,48845594.7785,207042209.217,0.000877544967035,4.46342658139,1.9,2.75,15,0.0671,0.25
538,9.91328156993e-9,-714.61772603,0.4013671875,574.971831055,30568687.1664,116242648.071,0.00212939663581,5.27681467936,1.96,5.0,24,0.088,0.58
539,5.38726533994e-9,-235.045327779,-0.12255859375,575.022613525,64537682.1278,283184241.71,0.000713434549577,4.17400882757,3.47,2.98,17,0.0653,0.11
541,8.70456188451e-9,-558.343342393,0.41552734375,575.020195313,29827847.9952,110995672.965,0.00141744557554,5.36569146136,1.96,3.12,2,0.0565,0.62
542,6.41166246323e-9,-317.805539971,0.21728515625,597.54609375,36807827.2385,146993693.365,0.00108752326773,4.87755723144,0.6,1.66,10,0.0182,0.45
543,7.2672120697e-9,-403.251464331,0.30224609375,574.979487305,34736995.8426,136299894.509,0.00193264729966,5.00349389777,2.82,4.16,28,0.0706,0.48
544,6.95535014744e-9,-368.439822237,0.4013671875,574.995761719,30326362.262,114431978.162,0.00156720681351,5.30182027189,2.79,3.07,9,0.0618,0.6
545,7.56821423754e-9,-438.81904727,0.7978515625,574.97659668,21613910.2677,75037753.1905,0.00311760198089,6.38736658052,4.37,0.75,26,0.0954,0.95
546,7.01243109874e-9,-375.29864047,0.67041015625,575.016577148,23566299.311,83381339.4129,0.00238452284603,6.05982432859,4.9,4.95,8,0.0793,0.85
547,6.62893414516e-9,-331.288552508,0.54296875,698.259643555,26566857.7635,95698124.9222,0.00234437253341,5.69799791405,0.48,3.77,29,0.0625,0.73
548,9.25020518233e-9,-623.839609063,0.52880859375,574.96145752,26797081.8169,97637897.7403,0.00204446783302,5.64767800284,2.01,4.45,13,0.057,0.72
549,6.79739388877e-9,-362.259097728,0.52880859375,574.943591309,26851860.8005,97603916.5272,0.00255998611335,5.64434076594,4.79,0.51,31,0.0559,0.72
550,9.20606557389e-9,-619.200137133,0.033203125,574.963120117,53301510.7588,230826071.336,0.000841854553767,4.36111164848,1.31,4.61,16,0.0766,0.2
551,5.61756461583e-9,-250.551530013,0.30224609375,574.96081543,32796152.1501,125704373.609,0.00150502150992,5.13780794936,3.17,2.38,13,0.0181,0.54
552,3.52832246253e-9,-114.659301456,-0.214599609375,574.977539063,80249114.4355,371112456.3,0.000577791029708,3.99818421146,4.24,2.58,20,0.0176,0.02
553,8.41502379087e-9,-525.087866982,0.4580078125,625.388818359,28266626.1599,103905025.766,0.0017300771235,5.5046410452,0.89,1.63,20,0.0818,0.65
554,6.48359231251e-9,-324.760639887,0.493408203125,617.674658203,26944580.2551,97804622.1148,0.00180282702797,5.64024467113,0.73,3.15,11,0.0254,0.72
555,5.21362191698e-9,-226.277014182,0.298706054688,575.000994873,32874855.6444,125962535.674,0.00141096302565,5.12710809578,4.06,0.63,11,0.0134,0.54
556,1.17389823926e-8,-970.456853724,0.479248046875,574.965952148,28793765.28,106721906.496,0.00165601094717,5.4430290262,1.58,1.7,14,0.0877,0.63
557,8.96552455644e-9,-585.499614355,0.635009765625,601.432480469,23728563.3493,83458531.0745,0.00203134623742,6.07207395029,1.03,0.44,18,0.0273,0.86
558,9.34719028941e-9,-632.800131425,0.252685546875,574.987506104,37037562.6856,147216925.012,0.00110367150289,4.88845383595,1.81,3.62,5,0.0843,0.42
559,6.00512047904e-9,-294.248218436,-0.1083984375,575.06534668,62850689.9998,270151440.822,0.000600957792811,4.21003513831,4.37,4.31,4,0.0972,0.1
560,5.79653793235e-9,-262.902991989,0.54296875,574.959423828,25762193.4544,92941459.256,0.00186020274767,5.77202807221,3.19,2.76,6,0.0249,0.77
561,4.27106097925e-9,-155.679825416,-0.06591796875,574.953613281,60004912.6455,278407448.483,0.000509244242483,4.20668346553,0.43,4.6,0,0.0156,0.17
562,7.03108371172e-9,-373.506782469,0.2314453125,578.516203613,34990810.0123,137362176.584,0.00109911118739,4.98449872819,0.49,1.24,2,0.0981,0.46
563,6.0281948975e-9,-290.10660258,0.238525390625,575.011932373,35312724.9153,137039581.843,0.00193104612575,4.99100079135,4.27,2.98,27,0.0554,0.47
564,6.30338456511e-9,-307.022631561,0.0561596466301,574.997402344,47736105.3171,200799406.467,0.000736382467861,4.49600257483,1.53,0.46,2,0.0279,0.29
565,5.64655892891e-9,-260.795654257,-0.1083984375,574.996030273,66502106.709,286925905.13,0.000857986599605,4.15967734471,3.37,3.09,28,0.0867,0.08
566,5.68078824156e-9,-259.075365855,0.24560546875,574.941162109,34983668.4363,136851655.214,0.0015349922447,4.98386127514,2.5,4.0,17,0.014,0.49
