0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,n_dop_conc,i_dop_conc,p_dop_conc
-3.7186667e-09,-3.1661225e-09,-2.6855052e-09,-2.2688975e-09,-1.9090794e-09,-1.5994658e-09,-1.3341386e-09,-1.1076612e-09,-9.1518819e-10,-7.5232208e-10,-6.1517521e-10,-5.002500099999999e-10,-4.0444407000000004e-10,-3.2501217e-10,-2.5952942000000003e-10,-2.0579818999999998e-10,-1.6208476e-10,-1.2674367e-10,-9.8302211e-11,-7.564208900000001e-11,-5.7709164e-11,-4.3620935e-11,-3.2665156e-11,-2.4215873e-11,-1.7759723e-11,-1.2904855e-11,-9.368859599999998e-12,-6.5355957000000005e-12,-4.5644139e-12,-3.136683e-12,-2.1270661e-12,-1.4255987e-12,-9.3679552e-13,-6.0454156e-13,-3.8271034e-13,-2.1829899e-13,-1.2602960000000002e-13,-6.3372634e-14,-2.2701851000000002e-14,4.538451e-15,2.4061235e-14,3.9703749e-14,5.4111375999999995e-14,6.9207622e-14,8.6457153e-14,1.0715247e-13,1.3259328e-13,1.6422417e-13,2.0374446e-13,2.5319947000000003e-13,3.1506091e-13,3.9236072e-13,4.8881826e-13,6.090305199999999e-13,7.5869136e-13,9.4475847e-13,1.1756936e-12,1.4622078000000002e-12,1.8200271000000002e-12,2.2814931e-12,2.9469331e-12,4.2188637e-12,7.882837400000001e-12,2.2107315e-11,8.456879e-11,3.6937675e-10,1.681403e-09,7.4955221e-09,3.4958523e-08,1.6289487e-07,7.5742909e-07,3.5106827000000005e-06,1.6161433e-05,7.249973000000001e-05,0.00029993937000000003,0.0010239868,0.0026852717999999998,0.0055736373,0.009793306600000001,0.015373834,0.022320938,0.030621811000000002,0.040244442000000005,0.051140504,0.063249561,0.076502147,0.090820845,0.106119,0.12229815,0.13923852,0.15678737,0.17473006,0.19272787,0.21015442,0.22557058,0.23501175,0.23541929,0.23617947,0.23863211,0.240979,0.24266128,0.24379829999999997,162554875575047847936,1309181922999409,6683439175686134784
-8.4496985e-07,-7.3338179e-07,-6.3439101e-07,-5.4666267e-07,-4.6940326e-07,-4.0152650000000003e-07,-3.4210486e-07,-2.9024037e-07,-2.4520627e-07,-2.0621589e-07,-1.7261895000000002e-07,-1.4378526e-07,-1.1916627e-07,-9.822213099999999e-08,-8.0507425e-08,-6.5601663e-08,-5.313131200000001e-08,-4.2753392000000005e-08,-3.4162803999999997e-08,-2.7108914e-08,-2.1349379000000003e-08,-1.6682002e-08,-1.2926786999999999e-08,-9.9275527e-09,-7.5546455e-09,-5.6926676e-09,-4.2445680000000006e-09,-3.1310644e-09,-2.2821594e-09,-1.6427685e-09,-1.1672468e-09,-8.1755366e-10,-5.640927799999999e-10,-3.8299475e-10,-2.5557577000000004e-10,-1.6748782e-10,-1.0754768000000001e-10,-8.74078e-11,-4.1530092e-11,-3.4528483e-11,-1.451734e-11,-8.229101299999998e-12,-4.5292121e-12,-2.4152077e-12,-1.2468886999999998e-12,-6.1929237e-13,-2.9284555e-13,-1.2853339999999998e-13,-4.996882e-14,-1.5518265e-14,-2.5223857000000003e-15,1.0274547000000001e-15,1.2549578e-15,1.0338412e-15,1.2167484e-15,1.7905271e-15,2.6874938e-15,4.0043744e-15,6.6589342e-15,1.6123169e-14,6.1112254e-14,2.8320708e-13,1.3563151000000002e-12,6.454634400000001e-12,-3.4000327e-10,-6.6285299e-10,-1.0402698e-09,-4.0653517e-10,7.4130185e-09,5.3199115999999996e-08,2.8292025e-07,1.3761543e-06,6.4700083e-06,2.9910834e-05,0.00013569412000000001,0.0005808702900000001,0.0020958932,0.00566382,0.011642605,0.019846534,0.03003297,0.042037211,0.05575940099999999,0.071135395,0.088115985,0.10665564,0.12670793,0.14822463,0.17115605,0.19544719,0.22106034,0.24794086,0.2760449,0.30532934,0.33575328,0.36727806,0.39986671,0.43348412,0.46809708,0.50367416,0.54018548,0.57760266,454988060150049865728,70631755426296,117219536554812801024
-1.0625684e-07,-9.119850900000001e-08,-7.7981166e-08,-6.6429929e-08,-5.6354205000000005e-08,-4.7611475e-08,-4.0052178e-08,-3.353856e-08,-2.7954950000000002e-08,-2.3182769e-08,-1.9126723e-08,-1.5697213e-08,-1.2809355e-08,-1.0392077e-08,-8.3795238e-09,-6.7130438e-09,-5.3416696e-09,-4.2213553e-09,-3.3100719e-09,-2.5758133e-09,-1.9878924e-09,-1.5207624e-09,-1.1529715e-09,-8.656325e-10,-6.432447099999999e-10,-4.7289067e-10,-3.4371612e-10,-2.466947e-10,-1.7479812e-10,-1.2216187e-10,-8.4137159e-11,-5.7056931000000007e-11,-3.8044506e-11,-2.4965877e-11,-1.6017924e-11,-1.0086085000000001e-11,-6.2162975e-12,-3.7455826e-12,-2.2038609e-12,-1.2641728e-12,-7.0616336e-13,-3.8310468e-13,-2.0123589e-13,-1.0124036e-13,-4.7607147e-14,-1.9469069999999998e-14,-4.784116500000001e-15,3.4014959000000005e-15,9.2458133e-15,1.524864e-14,2.3013406e-14,3.3640702e-14,4.1747506e-12,6.148476e-12,8.7015909e-12,1.1805116e-11,1.5307125e-11,1.8891423e-11,2.2050539000000002e-11,2.4093920000000002e-11,2.4236335e-11,7.496766400000001e-13,2.2806634999999997e-12,9.148178199999999e-12,4.063158e-11,1.8586626e-10,8.570733699999999e-10,3.7823951e-09,1.7746888999999998e-08,8.3170534e-08,3.8815166999999996e-07,1.8042518999999998e-06,8.3462943e-06,3.8203154e-05,0.00016892006,0.0006652497299999999,0.0020552610999999997,0.0048103734,0.009116747199999999,0.014994266000000001,0.022396878,0.031256047,0.041500068,0.053061274000000005,0.065877998,0.079894519,0.09506042,0.11132983,0.12866058,0.14701411,0.1663541,0.18664663,0.20785962,0.22996251,0.25292593,0.27672137,0.30132082,0.32669673,0.35282169,0.37966823,0.40720852,0.43541405,82603794957718175744,64416926551517,33189445755261100032
-1.2595924e-09,-1.0644199e-09,-8.9592801e-10,-7.5099215e-10,-6.2680067e-10,-5.2081537e-10,-4.3074532e-10,-3.5453597000000004e-10,-2.9034757999999996e-10,-2.3652814e-10,-1.9161524e-10,-1.5433363999999998e-10,-1.2357329e-10,-9.832400500000001e-11,-7.7713239e-11,-6.1005398e-11,-4.7545029e-11,-3.6772803e-11,-2.8218392e-11,-2.1473496e-11,-1.6199724e-11,-1.2108115e-11,-8.963818199999998e-12,-6.568816499999999e-12,-4.7622325999999995e-12,-3.4140004e-12,-2.4180263e-12,-1.6910767e-12,-1.1665592e-12,-7.9622844e-13,-5.3056253e-13,-3.4838433e-13,-2.5946507e-13,-1.7733132e-13,-1.2200556999999998e-13,-5.3818817e-14,-3.1938651e-14,-1.8350666000000002e-14,-1.0356757e-14,-5.5133593999999994e-15,-3.0799234000000003e-15,-1.5989741e-15,-1.0494977e-15,-3.3078807999999995e-16,-1.4798565e-16,-5.4858006e-17,-2.0604632000000002e-17,-6.8670708e-18,-6.639611299999999e-19,4.5241877e-18,1.4664201e-16,3.1693512e-17,7.2000666e-17,1.7544076999999999e-15,3.9567737e-15,8.8789755e-15,1.9856275e-14,4.4400702e-14,9.995933199999999e-14,2.2966581e-13,5.5182416e-13,1.4387276e-12,4.235696e-12,1.4351542e-11,5.5031076000000004e-11,2.2986756000000002e-10,9.623701e-10,4.5467866e-09,2.075212e-08,9.529946699999999e-08,4.3881459999999995e-07,2.0208045e-06,9.2642396e-06,4.1469532e-05,0.00017201449,0.00060806797,0.0017344864999999999,0.0040016237,0.0077672792,0.013295608,0.020808259,0.030485622999999996,0.042440988,0.056691997,0.073132846,0.091497848,0.11129700000000001,0.13169108,0.1512635,0.16773626,0.17834683,0.18281711,0.18484693,0.18661577,0.18823388,0.18954143,0.19055614,0.19136635,0.19204816,0.19264264,0.19316912,0.19363861,5188000389289609216,36307805477010024,439541615437825179648
-3.9140681e-09,-3.3089706e-09,-2.78607e-09,-2.3359139e-09,-1.9498304e-09,-1.6200104e-09,-1.3395081e-09,-1.1021027e-09,-9.0210115e-10,-7.3434026e-10,-5.944776700000001e-10,-4.7842669e-10,-3.8265282999999996e-10,-3.0402782000000004e-10,-2.3996793999999997e-10,-1.8807585e-10,-1.4628606000000002e-10,-1.1291888000000001e-10,-8.6449042e-11,-6.5611862e-11,-4.9349848e-11,-3.676895e-11,-2.7117652e-11,-1.9792187e-11,-1.428456e-11,-1.0190051e-11,-7.1779649999999995e-12,-4.9907835e-12,-3.4221571000000004e-12,-2.3120997000000004e-12,-1.5383324e-12,-1.0069953000000002e-12,-6.477783599999999e-13,-4.0911857e-13,-2.5344548e-13,-1.5380999e-13,-9.1298226e-14,-5.283453599999999e-14,-2.9698198e-14,-1.6095858e-14,-8.2687342e-15,-3.8600008e-15,-1.3812144e-15,6.4502267e-17,1.0397713e-15,1.8972549999999997e-15,2.8875571999999996e-15,4.2265324e-15,6.1480488999999996e-15,8.9576018e-15,1.3088463000000002e-14,1.9176162e-14,2.8163693e-14,4.1456448e-14,6.115374799999999e-14,9.039060099999999e-14,1.3386457e-13,1.9881335e-13,2.9767799e-13,4.5835816e-13,1.1677167999999999e-11,1.6756820000000002e-11,2.4002274e-11,3.9060171999999995e-11,7.0773704e-11,3.1911687e-10,1.4641778e-09,6.7539875e-09,3.112646e-08,1.4378548e-07,6.649687800000001e-07,3.0726569e-06,1.4112678000000001e-05,6.3195583e-05,0.00025907289,0.00086024281,0.0021638709,0.0043266217999999995,0.0073893018,0.011344706999999999,0.016168724,0.02183201,0.028304158,0.035555105,0.04355552099999999,0.052276790999999996,0.06169083,0.071769916,0.08248621099999999,0.09381151199999999,0.10571675,0.1181714,0.13114271,0.14459460000000002,0.15848614,0.17276909,0.18738407,0.20225397,0.2172718,0.23227626,0.24699671,0.26091016,34197944251370799104,85113803820237,8974287945007472640
-4.9818989e-07,-4.3074545000000003e-07,-3.7116315999999997e-07,-3.1864821000000003e-07,-2.7255351e-07,-2.3219824e-07,-1.970372e-07,-1.6648561999999997e-07,-1.4005317000000002e-07,-1.1728201e-07,-9.775491000000001e-08,-8.1067359e-08,-6.687863900000001e-08,-5.4875264999999995e-08,-4.4772305e-08,-3.6313131e-08,-2.9270799e-08,-2.3439203999999995e-08,-1.8643134999999997e-08,-1.4723562e-08,-1.1538771000000001e-08,-8.9729774e-09,-6.9187743e-09,-5.2884058e-09,-4.0045975e-09,-3.0035281e-09,-2.2283777e-09,-1.6361579e-09,-1.1864666e-09,-8.4980631e-10,-6.0076044e-10,-4.1875143e-10,-2.8748551e-10,-1.9409301000000002e-10,-1.2879735e-10,-8.3874689e-11,-5.4070963e-11,-3.3411173999999997e-11,-2.0791794000000002e-11,-1.2113385e-11,-7.0071288e-12,-3.9395261e-12,-2.1479201e-12,-1.131317e-12,-5.730588800000001e-13,-2.7339747000000004e-13,-1.1666258e-13,-3.7275107000000004e-14,1.027737e-15,1.8333585e-14,2.5495947000000003e-14,2.8147958999999997e-14,2.9047046e-14,2.9306427e-14,2.9241287e-14,2.8979948999999997e-14,2.8782163e-14,2.9237583e-14,3.2125318e-14,4.447792e-14,9.723915699999999e-14,3.3124261000000003e-13,1.3942783000000002e-12,6.27638e-12,2.8795796000000003e-11,1.328418e-10,5.6672205e-10,2.7232218e-09,1.2858995e-08,6.0108194e-08,2.7945823999999996e-07,1.2953641999999999e-06,5.9891832e-06,2.7551137e-05,0.00012456993000000002,0.0005275415,0.0018639168,0.0049714422,0.010316814,0.018027663,0.028097105,0.040454081,0.055000167999999995,0.071632103,0.09025139900000001,0.11076803,0.13310139,0.15717955,0.18293812,0.21031935,0.239271,0.26974563,0.30169978,0.33509324,0.36988856,0.40605002,0.44354415,0.48233933,0.52240558,0.56371435,0.60623834,0.6499513000000001,143879857825584955392,41591061049402184,151008015416414306304
-5.1589998e-07,-4.4667419e-07,-3.854654199999999e-07,-3.3142868999999996e-07,-2.8389659e-07,-2.422924e-07,-2.0592081e-07,-1.7429801999999998e-07,-1.4689258999999999e-07,-1.2321149e-07,-1.028556e-07,-8.543477699999998e-08,-7.0588936e-08,-5.800221400000001e-08,-4.7385269e-08,-3.8478827000000004e-08,-3.1046026e-08,-2.4881662000000002e-08,-1.9805266e-08,-1.5647149e-08,-1.2269008999999997e-08,-9.5411207e-09,-7.3572053e-09,-5.6224783e-09,-4.2564292e-09,-3.1909765e-09,-2.3663152e-09,-1.7355856e-09,-1.2582988e-09,-9.007741199999999e-10,-6.3628552e-10,-4.4321285e-10,-3.0412182999999996e-10,-2.0535784e-10,-1.3629706999999999e-10,-8.883996e-11,-5.712566800000001e-11,-3.5502983e-11,-2.1711978e-11,-1.2958025999999999e-11,-7.5360079e-12,-4.2650596e-12,-2.3460994e-12,-1.2511674e-12,-6.4467878e-13,-3.1827170999999997e-13,-1.469905e-13,-6.035369400000001e-14,-1.7573500000000002e-14,4.1454982999999995e-15,1.7763308000000002e-14,3.0723854e-14,3.5273019999999997e-12,5.6032867999999994e-12,8.5019282e-12,1.2319163e-11,1.7046529e-11,2.2521823000000002e-11,2.8386704e-11,3.4060866e-11,3.8751957e-11,4.156183e-11,4.1924142999999996e-11,4.1372662e-11,2.4312539e-11,1.1117675e-10,5.1258972e-10,2.3684252e-09,1.0949919e-08,5.0489730999999994e-08,2.3372153e-07,1.0816368e-06,4.9989284e-06,2.2998499e-05,0.0001040764,0.00044225652999999997,0.0015837819000000001,0.0043546682,0.0093723729,0.016898237,0.026994916,0.039646326,0.054807392,0.072423394,0.092438126,0.11479656,0.13944579,0.1663368,0.19542437,0.22666673,0.2600252,0.29546243,0.33292137,0.37241424,0.41388500000000006,0.45730240000000005,0.5026363,0.54985736,0.59893625,0.64984116,0.70254917,0.75702929,94406087628592644096,399944749761097,428548520397440942080
-9.2301759e-10,-7.7523696e-10,-6.4834097e-10,-5.398731099999999e-10,-4.4746499e-10,-3.6913312000000004e-10,-3.0306292999999996e-10,-2.4745544e-10,-2.0101797e-10,-1.6237938999999998e-10,-1.3040822e-10,-1.0406486e-10,-8.2519251e-11,-6.5009592e-11,-5.0847074e-11,-3.9480114000000003e-11,-3.0421468e-11,-2.3247605999999998e-11,-1.7618662e-11,-1.3237397000000001e-11,-9.8497976e-12,-7.256247800000001e-12,-5.292303900000001e-12,-3.817603500000001e-12,-2.7230242000000002e-12,-1.9187915000000002e-12,-1.3351608e-12,-9.1640108e-13,-6.2051047e-13,-4.1378859999999995e-13,-2.7171396e-13,-1.7550604e-13,-1.1135719999999999e-13,-6.937139e-14,-4.2309605999999994e-14,-2.5226273e-14,-1.4643477e-14,-8.228311600000001e-15,-4.4219740999999996e-15,-2.2055945e-15,-9.2460338e-16,-1.6248426999999998e-16,3.4368821000000005e-16,7.629361699999999e-16,1.2154346e-15,1.8006402e-15,2.6209445000000003e-15,3.8048845e-15,5.5278081000000005e-15,8.0450203e-15,1.1732128e-14,1.7147135e-14,2.5121842999999997e-14,3.6898069e-14,5.4332551999999995e-14,8.021131e-14,1.1878915e-13,1.7694049999999999e-13,2.6754645999999996e-13,4.2235609000000006e-13,7.4743059e-13,1.6739133000000002e-12,1.315944e-11,3.025855e-11,9.7711687e-11,3.8763731000000003e-10,1.77982e-09,8.2096006e-09,3.7920693000000004e-08,1.7508554e-07,8.0874139e-07,3.7293951e-06,1.7052820000000002e-05,7.529015e-05,0.00029615515,0.00091843821,0.0021695794,0.0041538144,0.0068959427,0.010389551,0.014616852,0.019555966,0.025183566,0.031475816000000004,0.038408631,0.045957644000000006,0.054098031,0.06280414599999999,0.072049108,0.08180417200000001,0.092037848,0.10271461,0.11379287,0.12522175,0.13693532,0.14884183,0.16080129,0.1725721,0.18366064,0.19281037,0.19700829,0.19789621,26181830082189807616,16481623915255034,6251726927756849152
-1.1712939e-07,-1.0046523e-07,-8.5844656e-08,-7.3070486e-08,-6.1947331e-08,-5.2292139000000004e-08,-4.395009500000001e-08,-3.6773559000000004e-08,-3.0623539e-08,-2.5371568e-08,-2.0914483000000003e-08,-1.7148810000000003e-08,-1.3982925e-08,-1.133293e-08,-9.1300414e-09,-7.3089518e-09,-5.8104994e-09,-4.5875177e-09,-3.5951553e-09,-2.7949546e-09,-2.1553381e-09,-1.6476838e-09,-1.2479994e-09,-9.362432e-10,-6.951186e-10,-5.1064496e-10,-3.7073447000000003e-10,-2.6588358e-10,-1.8827112e-10,-1.3145223e-10,-9.0467549e-11,-6.129721899999999e-11,-4.0847759000000005e-11,-2.6738640999999997e-11,-1.7181397e-11,-1.08205e-11,-6.6738822e-12,-4.0243734e-12,-2.3710802e-12,-1.3629733e-12,-7.6228124e-13,-4.1341021e-13,-2.1678386e-13,-1.0903145e-13,-5.226125400000001e-14,-2.3571382e-14,-9.762054599999999e-15,-3.5108564000000003e-15,-8.7600222e-16,2.0923509e-16,8.105191700000001e-16,1.4860950000000001e-15,2.5889832000000003e-15,4.4701439e-15,7.6307508e-15,1.2886236e-14,2.1604702000000003e-14,3.6222452e-14,1.1803764999999999e-12,2.0617004000000002e-12,3.6242337999999996e-12,6.4437330000000006e-12,1.1808322999999999e-11,2.3512784e-11,5.6073056999999994e-11,1.7316265e-10,6.669233e-10,2.8903337e-09,1.3110447e-08,6.0326845e-08,2.7862834999999994e-07,1.2873979e-06,5.939073099999999e-06,2.7190872e-05,0.00012071917999999999,0.00048577470000000004,0.0015980559,0.0040730062,0.0083092993,0.014458335,0.022563247999999998,0.032626355,0.04463073099999999,0.05854870400000001,0.07434629,0.09198572099999999,0.11142681,0.13262757,0.15554439,0.18013178,0.20634186,0.23412364,0.26342187,0.29417577,0.32631648,0.35976425,0.39442579,0.43018968,0.46691957,0.50444534,0.54255092,0.58095727,27542287033381744640,6011737374832779,233345806228099497984
-6.5372634e-11,-5.4070957e-11,-4.4518992e-11,-3.6480097e-11,-2.9745459e-11,-2.4130065e-11,-1.9471185e-11,-1.5624348000000003e-11,-1.2465049e-11,-9.883485400000001e-12,-7.7878893e-12,-6.0956485e-12,-4.7386526e-12,-3.6574729e-12,-2.8015534e-12,-2.1291861e-12,-1.604947e-12,-1.1990997999999999e-12,-8.8978218e-13,-6.513170299999999e-13,-4.7301092e-13,-3.3998071e-13,-2.3348885e-13,-2.4719189999999997e-13,-4.9319438e-14,-1.6735701e-13,-1.0475833e-14,-3.6374911e-14,-2.3872587e-14,-1.5420311e-14,-9.805541200000001e-15,-6.1125712e-15,-3.7359706000000005e-15,-2.2334291e-15,-1.3027739e-15,-7.394428200000001e-16,-4.0783968999999994e-16,-2.1642994e-16,-1.1744249e-16,-5.3527665999999994e-17,-2.7082171999999997e-17,-1.5314838e-17,-8.2184519e-18,-8.306338e-18,8.3691365000000005e-19,3.3178927999999998e-18,7.888192099999999e-18,1.6280496e-17,3.2460848e-17,6.3712747e-17,3.5297405e-15,2.3954678e-16,4.6101482e-16,2.6002817999999997e-14,5.0244805999999995e-14,9.676885199999999e-14,1.858786e-13,3.5650332e-13,6.847315499999999e-13,1.3259433999999998e-12,2.6287144e-12,5.5109002e-12,1.292246e-11,3.6116107e-11,1.2280468e-10,4.8607451e-10,2.0988999e-09,9.4421755e-09,4.3211238e-08,1.9903206e-07,9.181375899999999e-07,4.2247769e-06,1.9162689000000002e-05,8.2130033e-05,0.00029923263,0.00083499122,0.0018073063,0.0032626269,0.0052149603,0.0076670718,0.010616898999999999,0.014059395,0.017987079,0.02239018,0.027256595,0.032571733,0.038318238,0.044475586,0.051019479000000006,0.057920966,0.06514514099999999,0.07264917,0.080379202,0.088265354,0.096213188,0.10408855,0.11168977,0.11869925,0.12463768,0.12904682,0.13212263,0.1344964,5370317963702532096,119674053130724,7345138681571143680
